Iteration	Posterior	Likelihood	Prior	br_lengths[1]	br_lengths[2]	br_lengths[3]	br_lengths[4]	br_lengths[5]	br_lengths[6]	br_lengths[7]	br_lengths[8]	br_lengths[9]	br_lengths[10]	br_lengths[11]	br_lengths[12]	br_lengths[13]	br_lengths[14]	br_lengths[15]	br_lengths[16]	br_lengths[17]	br_lengths[18]	br_lengths[19]	br_lengths[20]	br_lengths[21]	br_lengths[22]	br_lengths[23]	br_lengths[24]	br_lengths[25]	br_lengths[26]	br_lengths[27]	br_lengths[28]	br_lengths[29]	br_lengths[30]	br_lengths[31]	br_lengths[32]	br_lengths[33]	br_lengths[34]	br_lengths[35]	br_lengths[36]	br_lengths[37]	br_lengths[38]	br_lengths[39]	br_lengths[40]	br_lengths[41]	br_lengths[42]	br_lengths[43]	br_lengths[44]	br_lengths[45]	br_lengths[46]	br_lengths[47]	muNeo	rate01	rate_categories[1]	rate_categories[2]	rate_categories[3]	rate_categories[4]	rate_categories[5]	rate_categories[6]	rate_log_sd	rel_br_lengths[1]	rel_br_lengths[2]	rel_br_lengths[3]	rel_br_lengths[4]	rel_br_lengths[5]	rel_br_lengths[6]	rel_br_lengths[7]	rel_br_lengths[8]	rel_br_lengths[9]	rel_br_lengths[10]	rel_br_lengths[11]	rel_br_lengths[12]	rel_br_lengths[13]	rel_br_lengths[14]	rel_br_lengths[15]	rel_br_lengths[16]	rel_br_lengths[17]	rel_br_lengths[18]	rel_br_lengths[19]	rel_br_lengths[20]	rel_br_lengths[21]	rel_br_lengths[22]	rel_br_lengths[23]	rel_br_lengths[24]	rel_br_lengths[25]	rel_br_lengths[26]	rel_br_lengths[27]	rel_br_lengths[28]	rel_br_lengths[29]	rel_br_lengths[30]	rel_br_lengths[31]	rel_br_lengths[32]	rel_br_lengths[33]	rel_br_lengths[34]	rel_br_lengths[35]	rel_br_lengths[36]	rel_br_lengths[37]	rel_br_lengths[38]	rel_br_lengths[39]	rel_br_lengths[40]	rel_br_lengths[41]	rel_br_lengths[42]	rel_br_lengths[43]	rel_br_lengths[44]	rel_br_lengths[45]	rel_br_lengths[46]	rel_br_lengths[47]	scale	stationaryDist[1]	stationaryDist[2]	tree_length
0	-190.5864	-252.433	61.84656	0.0140955	0.0393238	0.0740401	0.0594958	0.0663721	0.12537	0.0493715	0.0706937	0.0292131	0.00128002	0.00905965	0.0070173	0.057751	0.0202123	0.0401633	0.0804367	0.0646845	0.0338149	0.0687784	0.0905234	0.00101171	0.00706089	0.0669635	0.0310987	0.09803	0.00421766	0.0315507	0.0183896	0.0524542	0.00793856	0.00998158	0.0373864	0.0591536	0.0368173	0.010821	0.0132197	0.013452	0.00608759	0.0173112	0.0120636	0.0160636	0.0139627	0.0376835	0.00648622	0.0143299	0.0303385	0.00484501	0.9343451	0.8767802	0.021032	0.152077	0.555673	1.79962	6.5756	47.5466	2.792282	0.00848913	0.0236831	0.0445913	0.0358319	0.0399731	0.0755054	0.0297344	0.0425759	0.0175938	0.000770905	0.00545625	0.00422623	0.0347811	0.0121731	0.0241887	0.0484437	0.0389568	0.0203653	0.0414224	0.0545185	0.000609311	0.00425248	0.0403293	0.0187294	0.0590394	0.00254012	0.0190017	0.0110753	0.031591	0.00478106	0.0060115	0.0225163	0.0356258	0.0221735	0.00651703	0.00796167	0.00810158	0.0036663	0.0104258	0.0072654	0.00967442	0.00840918	0.0226952	0.00390638	0.00863032	0.0182716	0.00291795	1.013306	0.532827	0.467173	1.660416
36	-172.6403	-234.1145	61.47426	0.00456216	0.00293887	0.00291547	0.00197374	0.0269209	0.00573242	0.00477519	0.00586731	0.00802059	0.00063302	0.00206825	0.000169545	0.0167924	0.00659345	0.0174906	0.0125379	0.00416986	0.00249002	0.00527254	0.00274447	0.00137358	0.00915879	0.00185287	0.00796716	0.00573539	0.000592397	0.0150843	0.0025143	0.0081762	0.0048985	0.00276228	0.0136049	0.00251552	0.00221793	0.0185167	0.0255972	0.0183362	0.000142942	0.00202538	0.00449881	0.00193708	0.00234108	0.00957798	0.00165299	0.0191132	0.0128308	0.0105348	0.8658319	0.7634071	0.00243508	0.0531369	0.400264	2.49835	18.8193	410.664	4.351266	0.0134091	0.00863796	0.00856918	0.00580122	0.0791261	0.0168487	0.0140353	0.0172452	0.0235742	0.00186058	0.006079	0.000498328	0.0493563	0.0193795	0.0514085	0.0368515	0.0122561	0.00731869	0.0154971	0.00806656	0.00403722	0.0269196	0.00544595	0.0234171	0.0168575	0.00174118	0.0443357	0.00739004	0.0240315	0.0143977	0.00811891	0.0399877	0.00739362	0.00651894	0.0544244	0.0752355	0.0538938	0.000420135	0.00595301	0.0132229	0.00569348	0.00688092	0.0281516	0.00485847	0.0561777	0.0377123	0.0309639	1.027574	0.567084	0.432916	0.340228
72	-175.4101	-237.4136	62.00346	0.000864529	0.00302816	0.00307689	0.00451064	0.0156372	0.0251431	0.0109089	0.0285654	0.00599501	0.00128766	0.0128345	0.013944	0.022764	0.00573619	0.00449255	0.00234057	0.00283055	0.0105172	0.0104933	0.0127616	0.000833063	0.0234973	0.00685023	0.00241381	0.00385052	0.00407107	0.0117388	0.0113378	0.0123542	0.00910345	0.0022774	0.0182179	0.0168889	0.022427	0.0130678	0.0154787	0.0213126	0.00400426	0.0303509	0.00748621	0.00424035	0.00345919	0.018376	0.00178606	0.00896409	0.023327	0.035525	1.07124	1.15341	0.00812998	0.0956633	0.480852	2.07964	10.4533	123.002	3.47955	0.0016282	0.00570306	0.00579484	0.00849508	0.0294501	0.0473531	0.0205452	0.0537983	0.0112906	0.00242511	0.0241718	0.0262614	0.0428724	0.0108032	0.008461	0.0044081	0.00533089	0.0198074	0.0197624	0.0240344	0.00156894	0.0442534	0.0129013	0.00454603	0.00725185	0.00766722	0.0221081	0.0213528	0.0232671	0.0171449	0.00428912	0.0343105	0.0318075	0.0422377	0.0246112	0.0291517	0.0401389	0.00754139	0.0571612	0.0140991	0.00798602	0.00651483	0.0346082	0.00336375	0.0168824	0.0439326	0.0669056	0.9859521	0.46438	0.53562	0.5309714
108	-185.9482	-248.1697	62.22144	0.0166632	0.00319339	0.0177597	0.00689743	0.0412984	0.127186	0.0340235	0.0474125	0.00279844	0.000969246	0.0367142	0.00896314	0.12107	0.00564422	0.00222311	0.000215324	0.0133134	0.00183572	0.0335957	0.0495825	0.00013733	0.0307032	0.0111592	0.0184209	0.00281585	0.0089975	0.0187649	0.000454138	0.00938256	0.0177459	0.0339583	0.0102655	0.0237084	0.0305431	0.00111272	0.0118265	0.014465	0.0140456	0.000974706	0.0096851	0.00142006	0.0140786	0.00947973	0.00720488	0.0453078	0.004317	0.0350067	1.251873	1.673344	0.0276065	0.173651	0.579153	1.72666	5.75868	36.2233	2.595603	0.0174057	0.00333569	0.0185511	0.00720479	0.0431387	0.132853	0.0355397	0.0495253	0.00292314	0.00101244	0.0383502	0.00936255	0.126465	0.00589574	0.00232217	0.000224919	0.0139067	0.00191752	0.0350927	0.051792	0.00014345	0.0320714	0.0116565	0.0192418	0.00294133	0.00939844	0.0196011	0.000474375	0.00980066	0.0185367	0.0354715	0.0107229	0.0247648	0.0319041	0.00116231	0.0123535	0.0151096	0.0146715	0.00101814	0.0101167	0.00148334	0.0147059	0.00990216	0.00752594	0.0473268	0.00450937	0.0365667	0.9520412	0.374063	0.625937	0.9573398
144	-172.7342	-235.0439	62.30968	0.0115675	0.00464021	0.00148376	0.0289907	0.0432818	0.0203566	0.00260201	0.00274443	0.007173	0.00498023	0.00733835	0.0191454	0.0434193	0.00359234	0.000189026	0.000216163	0.0124062	0.0170168	0.012063	0.0162803	0.000916228	0.00316268	0.034213	0.027541	0.0214515	0.0772624	0.0275041	0.00510757	0.00793234	0.0112679	0.0196467	0.00414008	0.0151832	0.0107935	0.00784439	0.0278069	0.0147666	0.0329344	0.0201151	0.011596	0.00251521	0.00409294	0.0129381	0.00477819	0.00906161	0.00749415	0.0178003	0.7281474	0.5725093	0.00539456	0.0783194	0.45176	2.21357	12.7682	185.372	3.776129	0.0165403	0.006635	0.00212162	0.0414536	0.0618884	0.0291078	0.0037206	0.00392424	0.0102566	0.00712119	0.0104931	0.0273759	0.062085	0.00513666	0.000270287	0.00030909	0.0177395	0.0243322	0.0172488	0.0232791	0.00131011	0.00452229	0.0489209	0.0393807	0.0306734	0.110477	0.0393279	0.00730327	0.0113424	0.0161119	0.0280926	0.00591987	0.0217104	0.0154335	0.0112166	0.0397609	0.0211147	0.0470927	0.0287625	0.016581	0.00359647	0.00585247	0.0185001	0.00683229	0.0129571	0.0107158	0.0254525	1.057497	0.635926	0.364074	0.6993535
180	-187.7578	-249.6498	61.89202	0.00937077	0.0524543	0.00586031	0.019046	0.0824205	0.0380599	0.0517654	0.00581483	0.0701945	0.0222817	0.00538915	0.0118986	0.00458394	0.0449257	0.0155371	0.0339893	0.0475306	0.034829	0.0660132	0.0497307	0.0373263	0.0423265	0.0182312	0.059883	0.0495774	0.052364	0.00444692	0.00282959	0.00651721	0.0104357	0.045715	0.120882	0.0164311	0.0288855	0.121627	0.0927866	0.0166887	0.0397272	0.00820644	0.0167298	0.0685235	0.0800715	0.090766	0.0659746	0.0569612	0.00104667	0.0150182	0.7611839	0.6144446	0.0203543	0.149668	0.552911	1.80861	6.68147	49.1296	2.815964	0.00508818	0.0284819	0.00318206	0.0103417	0.0447531	0.0206659	0.0281078	0.00315736	0.0381145	0.0120986	0.00292622	0.00646075	0.00248901	0.0243939	0.00843642	0.0184557	0.0258084	0.0189116	0.0358441	0.027003	0.0202676	0.0229826	0.00989924	0.0325155	0.0269197	0.0284328	0.00241461	0.00153642	0.00353874	0.00566641	0.0248225	0.0656369	0.00892183	0.0156843	0.0660415	0.0503816	0.00906171	0.0215713	0.00445597	0.00908402	0.0372072	0.0434776	0.0492845	0.0358232	0.030929	0.000568325	0.00815465	1.050159	0.619408	0.380592	1.841674
216	-191.238	-251.1823	59.94428	0.0419196	0.0397853	0.04245	0.064483	0.0641685	0.161702	0.0420348	0.0570168	0.0358701	0.0969542	0.0578348	0.0213527	0.0734363	0.0611746	0.0632077	0.119753	0.0351166	0.00498466	0.110469	0.0261393	0.11274	0.0229162	0.07541	0.0925821	0.131153	0.0418105	0.0197315	0.00646518	0.0340301	0.0719236	0.0138282	0.0950131	0.127076	0.0659629	0.00260392	0.0616465	0.0675008	0.0430334	0.0107172	0.0126133	0.0973498	0.0476933	0.0950211	0.0863678	0.0729453	0.0199188	0.000308185	1.109587	1.24615	0.0249971	0.165442	0.570469	1.75294	6.0444	40.0047	2.667399	0.0152534	0.0144768	0.0154464	0.0234636	0.0233492	0.0588388	0.0152953	0.0207468	0.0130522	0.035279	0.0210445	0.00776966	0.0267215	0.0222598	0.0229995	0.0435748	0.012778	0.00181378	0.0401966	0.00951136	0.0410231	0.00833856	0.0274396	0.0336881	0.0477231	0.0152137	0.00717977	0.0023525	0.0123826	0.026171	0.00503169	0.0345727	0.0462393	0.0240021	0.000947494	0.0224315	0.0245617	0.0156587	0.00389969	0.00458962	0.0354229	0.0173543	0.0345756	0.0314269	0.0265428	0.00724792	0.00011214	0.9785526	0.445206	0.554794	2.748215
252	-179.6833	-243.2372	63.55391	0.00907773	0.00290896	0.0297441	0.00641426	0.010783	0.0113134	0.00112043	0.00633843	0.00108145	0.00435784	0.0329218	0.00453702	0.000824596	0.00122232	0.00603467	0.0391161	0.00125904	0.00886254	0.00337669	0.0241626	0.0273152	0.00571819	0.000459428	0.0265661	0.00850814	0.00732095	0.0104054	0.0119946	0.0184478	0.0133854	0.0189825	0.0248792	0.0155093	0.0100356	0.00245986	0.013174	0.00466297	0.00462099	0.00556553	0.000337344	0.00471183	0.0259089	0.037818	0.00096627	0.00353572	0.0257701	0.000469406	0.7467248	0.5958187	0.0290732	0.178091	0.583733	1.71311	5.61511	34.3959	2.558173	0.0169682	0.00543745	0.055598	0.0119896	0.0201556	0.021147	0.00209432	0.0118479	0.00202145	0.00814571	0.0615377	0.00848064	0.00154134	0.00228477	0.0112801	0.0731162	0.00235341	0.0165659	0.00631174	0.045165	0.0510577	0.0106885	0.000858767	0.0496576	0.0159035	0.0136844	0.01945	0.0224204	0.0344828	0.0250202	0.0354823	0.0465043	0.0289901	0.0187587	0.004598	0.0246249	0.00871606	0.0086376	0.0104031	0.000630567	0.00880739	0.0484292	0.0706898	0.00180616	0.00660901	0.0481697	0.000877418	1.053358	0.626638	0.373362	0.5349856
288	-174.8876	-236.4192	61.53169	0.0141466	0.0408129	0.0271603	0.0989998	0.120886	0.0661285	0.029559	0.0716734	0.035376	0.0671573	0.015707	0.00794744	0.0370718	0.00405347	0.00443066	0.0611156	0.0288906	0.0392028	0.00152133	0.0230744	0.0201916	0.053298	0.063686	0.0810048	0.226118	0.0755403	0.11453	0.0891044	0.138452	0.0324588	0.00896537	0.0866479	0.083575	0.0930491	0.0171013	0.0346854	0.0177906	0.0916447	0.105914	0.00969065	0.0682242	0.0792436	0.0348987	0.00510617	0.00585599	0.023134	0.193977	0.4347915	0.2777851	0.0296528	0.179813	0.585488	1.70798	5.56132	33.7237	2.543901	0.00534074	0.0154081	0.0102538	0.0373753	0.045638	0.0249654	0.0111594	0.0270588	0.0133555	0.0253538	0.00592986	0.00300039	0.0139957	0.0015303	0.0016727	0.0230729	0.010907	0.0148002	0.000574345	0.00871124	0.0076229	0.0201215	0.0240433	0.0305817	0.0853662	0.0285187	0.0432383	0.0336395	0.0522696	0.0122541	0.00338469	0.0327121	0.031552	0.0351288	0.00645623	0.0130948	0.00671647	0.0345985	0.0399858	0.0036585	0.0257566	0.0299168	0.0131753	0.00192773	0.00221081	0.00873377	0.0732318	1.127449	0.782604	0.217396	2.648802
324	-185.3154	-247.9785	62.66313	0.0121267	0.000445305	0.00313852	0.0327674	0.0673313	0.0640185	0.00148951	0.0406483	0.00758586	0.0140545	0.0078483	0.0103344	0.010009	0.000749964	0.0119344	0.00998616	0.0244608	0.008335	0.0124255	0.0252439	0.0157708	0.00289614	0.00736473	0.00869022	0.0703751	0.0122685	0.0164395	0.0187066	0.0217407	0.0129829	0.00683236	0.0126869	0.00699435	0.0105725	0.000922951	0.0391802	0.00355885	0.0162744	0.00593526	0.00699046	0.00196233	0.0111338	0.0140117	0.00707718	0.00387827	0.0270962	0.0250312	0.5744845	0.4030013	0.00619165	0.0837642	0.461333	2.16763	11.9383	161.508	3.676482	0.0161193	0.000591918	0.00417186	0.0435559	0.0894998	0.0850962	0.00197992	0.0540315	0.0100835	0.0186819	0.0104323	0.0137369	0.0133044	0.000996885	0.0158637	0.013274	0.0325143	0.0110792	0.0165165	0.0335553	0.0209633	0.00384967	0.00978953	0.0115514	0.0935457	0.0163078	0.0218522	0.0248657	0.0288987	0.0172574	0.00908187	0.0168639	0.00929719	0.0140534	0.00122683	0.05208	0.00473058	0.0216326	0.00788941	0.00929203	0.00260841	0.0147995	0.0186249	0.0094073	0.00515517	0.0360175	0.0332726	1.093019	0.712758	0.287242	0.7523075
